Timestamp,nose.x,nose.y,nose.z,neck.x,neck.y,neck.z,r_sho.x,r_sho.y,r_sho.z,r_elb.x,r_elb.y,r_elb.z,r_wri.x,r_wri.y,r_wri.z,l_sho.x,l_sho.y,l_sho.z,l_elb.x,l_elb.y,l_elb.z,l_wri.x,l_wri.y,l_wri.z,r_hip.x,r_hip.y,r_hip.z,r_knee.x,r_knee.y,r_knee.z,r_ank.x,r_ank.y,r_ank.z,l_hip.x,l_hip.y,l_hip.z,l_knee.x,l_knee.y,l_knee.z,l_ank.x,l_ank.y,l_ank.z,r_eye.x,r_eye.y,r_eye.z,l_eye.x,l_eye.y,l_eye.z,r_ear.x,r_ear.y,r_ear.z,l_ear.x,l_ear.y,l_ear.z
1.70107873793929E+018,0,0,0,-1.46016347383303,-0.536664350727008,-0.0463108423136149,-1.65061311238259,-0.517792226571359,0.00334870117140951,-3.263,-0.811357485245952,-0.449963798699396,0,0,0,-1.391,-0.594958361864022,-0.0410577640659501,-1.36,-0.565677346653495,-0.318920303584984,-1.429,-0.688650713472743,-0.476511159379096,-1.57659249703715,-0.394298937952456,-0.494033357880326,0,0,0,0,0,0,-1.42897707187285,-0.482750033491001,-0.49285214199346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.498,-0.67954873554552,0.12872875970364
1.70107873795063E+018,0,0,0,-1.45470541342851,-0.534572458970871,-0.0604442024997338,-1.64596188680594,-0.515295608944925,0.00429516919728179,-3.343,-0.839126342410401,-0.460995703049979,0,0,0,-1.38596176767774,-0.598434255341843,-0.0432114629760392,-1.355,-0.56998276869833,-0.317747802468862,-1.417,-0.686206421639371,-0.472509666088299,-1.57988135502538,-0.398072067582227,-0.49448255871296,0,0,0,0,0,0,-1.42911255464472,-0.487846412028262,-0.492402591126769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.498,-0.676019249559537,0.12872875970364
1.70107873801043E+018,0,0,0,-1.45527365018376,-0.53447312120386,-0.0579852462102913,-1.64506259636627,-0.514112466708831,0.00505232599851935,-3.376,-0.847409671545771,-0.457592061399217,0,0,0,-1.38654994153697,-0.598381372853822,-0.0415341480207463,-1.363,-0.576559388760298,-0.319623804254656,-1.444,-0.69928163221401,-0.488317535690534,-1.58007374452529,-0.40166269878403,-0.4936092554371,0,0,0,0,0,0,-1.42617757586899,-0.490972162954719,-0.487937967073414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.498,-0.672489763573555,0.12872875970364
1.70107873804703E+018,0,0,0,-1.45133053819589,-0.532611313347992,-0.0458595578136999,-1.65028698350312,-0.514855648480086,0.0055010674455831,-3.445,-0.872846235052801,-0.46694450578208,0,0,0,-1.38952347709051,-0.598765151906349,-0.0386943039179566,-1.35567516392035,-0.579698586152247,-0.320976092413417,-1.435,-0.694923228689131,-0.485274005343433,-1.58555975190092,-0.405531205004728,-0.495961278482895,0,0,0,0,0,0,-1.42288345150746,-0.49330958715364,-0.483798923901603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.498,-0.668960277587573,0.132258245689622
1.70107873807328E+018,0,0,0,-1.449369467287,-0.531504870458853,-0.0305871334069768,-1.65110318885488,-0.512859077031692,0.0056908351877506,-3.498,-0.878032888349262,-0.474128267409496,0,0,0,-1.39217307581151,-0.598814559633951,-0.0351414749932362,-1.35865446870545,-0.582805991689995,-0.319410586697156,-1.411,-0.679976316801988,-0.473833421930365,-1.58851381161759,-0.40916484909642,-0.499090071481774,0,0,0,0,0,0,-1.42741090384811,-0.496645748677324,-0.484343670149762,0,0,0,0,0,0,0,0,0,-1.505,-0.746551817327278,0.136422253786238,0,0,0,-1.49948299611586,-0.672031665948822,0.131332632389132
1.70107873809282E+018,0,0,0,-1.44797127132156,-0.530740377027861,-0.0188214123772563,-1.65388701668445,-0.510588765799035,0.00573754183928399,-3.327,-0.842949034548816,-0.466628173899063,0,0,0,-1.39340729086342,-0.598326935343756,-0.029981732159976,-1.35754680000349,-0.584030097008203,-0.314842873141764,-1.411,-0.679976316801988,-0.473833421930365,-1.5855965008987,-0.412970425911198,-0.500214745540063,0,0,0,0,0,0,-1.43140913479286,-0.499818202235943,-0.48534377229241,0,0,0,0,0,0,0,0,0,-1.515,-0.751512294518822,0.137328713944286,0,0,0,-1.50048076881686,-0.669013112561032,0.133633025215648
1.70107873813975E+018,0,0,0,-1.44602990301294,-0.529929184135085,-0.0126017849097433,-1.66423030796514,-0.50858055588148,0.00577342401616798,-3.343,-0.854879442078142,-0.460995703049979,0,0,0,-1.39491489440863,-0.598122943055195,-0.0262391731936238,-1.35517213767992,-0.583532672343011,-0.310909692575418,-1.411,-0.67332731182706,-0.473833421930365,-1.57454377274678,-0.416020145417605,-0.498460842195421,0,0,0,0,0,0,-1.4348077074811,-0.502968695363514,-0.48538051270458,0,0,0,0,0,0,0,0,0,-1.515,-0.747942754286003,0.140898254177105,0,0,0,-1.50275240854995,-0.667457091448412,0.135531426261938
1.70107873815357E+018,-1.532,-0.759945105744446,0.10999294037572,-1.4450255216654,-0.528230174149876,-0.0108905266176147,-1.67349482162388,-0.506160676762825,0.00580556377795427,-3.535,-0.887320257379828,-0.462485491861644,0,0,0,-1.39514482801667,-0.597557351232126,-0.0237344752733364,-1.35465790385501,-0.583073489364701,-0.307101976527242,-1.408,-0.668578281750639,-0.476143414302128,-1.57038848651882,-0.419282896030445,-0.498405410029804,0,0,0,0,0,0,-1.43750572235118,-0.508875242316471,-0.485748961525054,0,0,0,0,0,0,0,0,0,-1.515,-0.747942754286003,0.140898254177105,0,0,0,-1.50556727705359,-0.664385834662781,0.138329552655305
1.70107873818165E+018,-1.539,-0.759791352373702,0.110495519085008,-1.44831054441303,-0.525708968675581,-0.0106807798689152,-1.68269290692879,-0.503743517571877,0.00583747309143579,-3.498,-0.869791138029525,-0.449403016450286,0,0,0,-1.3993352677943,-0.597611925280354,-0.0211060226780968,-1.35315163252776,-0.580624967953305,-0.304238133097826,-1.40730651331577,-0.668748555327824,-0.475947302750342,-1.5667341385402,-0.421257227851207,-0.497957523319556,0,0,0,0,0,0,-1.44053337813358,-0.514932133180636,-0.487900918570695,0,0,0,0,0,0,0,0,0,-1.518,-0.742270611788326,0.14475386925034,0,0,0,-1.50760242468039,-0.662440816184187,0.1416742114606
1.70107873821616E+018,-1.549,-0.764728268243576,0.111213488669706,-1.45767071309962,-0.523437526832154,-0.0108691078413623,-1.69540665225458,-0.502482885961044,0.00588157867120331,-3.498,-0.861549387709788,-0.449403016450286,0,0,0,-1.39905153208483,-0.594935812550382,-0.0195965897603863,-1.35062925671727,-0.576670021056884,-0.302202621627792,-1.41428789898703,-0.667036768765598,-0.482286743419124,-1.56702132288797,-0.422976611222673,-0.499643193576866,0,0,0,0,0,0,-1.44361809619468,-0.518329489234539,-0.490001955900901,0,0,0,0,0,0,0,0,0,-1.525,-0.745693467046902,0.141828275656822,0,0,0,-1.51008522114682,-0.657861306776304,0.142735489648118
1.7010787382557E+018,-1.542,-0.754006115532015,0.107077754159093,-1.47152677566052,-0.521303418436013,-0.0112917600705171,-1.69799736571017,-0.499972150756065,0.00589056618165296,0,0,0,0,0,0,-1.40309861258964,-0.590889174526936,-0.0178345036711467,-1.35396983323432,-0.574432945852301,-0.302345117924585,-1.42214509468857,-0.666217875140973,-0.4882507253676,-1.5611649066785,-0.424688678035693,-0.500083657271489,0,0,0,0,0,0,-1.44658842902007,-0.520600994637796,-0.491869753139447,0,0,0,0,0,0,0,0,0,-1.532,-0.73828753886651,0.142479290692624,0,0,0,-1.51437732336822,-0.650267663942508,0.143349863341136
1.70107873827987E+018,-1.56,-0.755456610979124,0.108327689032546,-1.48112119614029,-0.518079820663793,-0.0103830574145589,-1.69392841834951,-0.497032521933235,0.00587645049207552,0,0,0,0,0,0,-1.4049850906579,-0.584661984712724,-0.0169201219594992,-1.35822620756994,-0.570854884560994,-0.30335711534552,-1.4257647551629,-0.663850838792172,-0.493339579062102,-1.56298838246107,-0.425620195991101,-0.50655881325153,0,0,0,0,0,0,-1.44828586908778,-0.518799723936915,-0.495687824121248,0,0,0,0,0,0,0,0,0,-1.535,-0.732499945892656,0.142758297136539,0,0,0,-1.51739889058496,-0.64314483925191,0.143374647271674
1.70107873836187E+018,-1.593,-0.760177468278176,0.110619236300542,-1.48545899234006,-0.513670087714672,-0.00962254770801518,-1.69363889392082,-0.493442848990043,0.00434198063300251,0,0,0,0,0,0,-1.4143143947245,-0.578014912778052,-0.0166982664048678,-1.37055221171275,-0.569381037637527,-0.305353159832368,-1.42752499584543,-0.660976134949308,-0.49677071639411,-1.56410448466818,-0.425581031009784,-0.511476310744591,0,0,0,0,0,0,-1.45130819679588,-0.518521799905258,-0.499220675610026,0,0,0,0,0,0,0,0,0,-1.539,-0.727156565730285,0.143130305728425,0,0,0,-1.52473522840569,-0.637452361586043,0.144906954711384
1.70107873838443E+018,-1.586,-0.749363426412106,0.110133150516421,-1.49245818224628,-0.509606297474697,-0.0103688828339179,-1.69066181588829,-0.489045256129032,0.00461521581336188,0,0,0,0,0,0,-1.41810537082026,-0.5691963065712,-0.0167702848091467,-1.38069337810586,-0.564958634218087,-0.304729924156952,-1.43286941736685,-0.658690177785488,-0.500379470220686,-1.56982507090629,-0.426364319247661,-0.516681693133855,0,0,0,0,0,0,-1.45945120104815,-0.517189153273201,-0.501150567314554,0,0,0,0,0,0,0,0,0,-1.553,-0.730112302039922,0.144432335800029,0,0,0,-1.53557251128373,-0.634576366954384,0.14642787312169
